countrynumb,countryname,year,net.exports (in billions USD),"public.debt (billions, national currency)",exchange.rate,population (in millions),FDI (in billions USD),inflation
8,Malawi,2017,-0.4414941,2596.709,730.27,19.169,1.431,11.541
8,Malawi,2018,-0.499463017,3020.435,732.33,19.721,1.4668,9.215
9,Tanzania,2009,-2.077597083,9189.915,1320.31,41.824,3.2757,12.144
9,Tanzania,2010,-2.69732283,12075.57,1395.63,43.06,5.6637,7.192
9,Tanzania,2011,-4.469925197,14869.936,1557.43,44.348,3.5472,12.691
9,Tanzania,2012,-3.816540631,18216.166,1571.7,45.688,4.5388,16.001
9,Tanzania,2013,-4.844972004,22916.443,1597.56,47.076,4.5693,7.87
9,Tanzania,2014,-4.605555977,28541.365,1653.23,48.511,2.8342,6.132
9,Tanzania,2015,-3.102283162,35038.578,1991.39,49.989,3.1787,5.588
9,Tanzania,2016,-1.354112552,40119.8,2177.09,51.51,1.7359,5.17
9,Tanzania,2017,-1.044223419,44732.659,2228.86,53.074,1.7586,5.319
9,Tanzania,2018,-4.885,49927.358,2263.78,54.68,1.8206,3.509
